암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,좌표(X),좌표(Y)
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ4MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,수원중앙병원,21,병원,310000,경기,310601,수원권선구,,16565,경기도 수원시 권선구 권선로 654 (권선동),http://www.cheongpa.or.kr,1994-01-02,15,0,0,0,14,0,0,0,0,1,0,0,0,127.022579,37.2599859
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjE4MzIjNDEjJDEjJDQjJDgz,순병원,21,병원,210000,부산,210011,부산금정구,,46277,부산광역시 금정구 중앙대로 1701 (부곡동),http://www.soon-soon.com,2011-06-20,18,0,0,0,18,0,0,0,0,0,0,0,0,129.0916903,35.2364803
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ3MiQzNjE4MzIjNDEjJDEjJDQjJDgz,순천브레인병원,21,병원,360000,전남,360400,순천시,,57973,전라남도 순천시 해룡면 지봉로 372-3 퍼스트아동병원,,2012-04-23,4,1,0,0,3,0,0,0,0,0,0,0,0,127.5339599,34.946966
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQwMyQyNjE4MzIjNDEjJDEjJDgjJDgz,순천센텀병원,21,병원,360000,전남,360400,순천시,,57971,전라남도 순천시 백연길 100  (조례동),http://www.centumhos.com/,2013-08-05,1,0,0,0,1,0,0,0,0,0,0,0,0,127.5322769,34.9535047
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz,순천에스병원,21,병원,360000,전남,360400,순천시,,57936,전라남도 순천시 용당삼산로 11-0  (용당동),,2020-11-17,6,0,0,0,6,0,0,0,0,0,0,0,0,127.4898463,34.9728684
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5MiQzNjEwMDIjNDEjJDEjJDgjJDgz,순천우리병원,21,병원,360000,전남,360400,순천시,,57950,전라남도 순천시 이수로 291  (조례동),http://www.saewoori2.com,2011-03-22,10,0,0,0,10,0,0,0,0,0,0,0,0,127.5160041,34.9526177
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ3MiQzNjE0ODEjNjEjJDEjJDAjJDgz,순천하나병원,21,병원,360000,전남,360400,순천시,,57964,전라남도 순천시 팔마로 215 (덕암동),,2006-02-24,13,0,0,0,13,0,0,0,0,0,0,0,0,127.5098723,34.9405848
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQyIyQ5IyQwMCQzNjE0ODEjNDEjJDEjJDQjJDgz,순천희망병원,21,병원,360000,전남,360400,순천시,,0,전라남도 순천시 중앙로 4  (장천동),,2015-12-10,6,0,0,0,6,0,0,0,0,0,0,0,0,127.4879535,34.947317
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ5MiQyNjEyMjIjODEjJDEjJDIjJDgz,숨이편한병원,21,병원,110000,서울,110003,강서구,,7632,서울특별시 강서구 강서로 323 4~8층 (내발산동),,2022-04-28,4,0,0,0,4,0,0,0,0,0,0,0,0,126.8365498,37.5546873
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3MiQzNjEwMDIjNDEjJDEjJDQjJDgz,쉬즈메디병원,21,병원,310000,경기,310603,수원팔달구,,16481,경기도 수원시 팔달구 장다리로 288 (인계동),http://www.shesmedi.co.kr,2012-03-27,13,0,0,0,13,0,0,0,0,0,0,0,0,127.0290997,37.2743973
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ3MiQzNjE0ODEjNjEjJDEjJDgjJDgz,스마일본병원,21,병원,310000,경기,311200,평택시,,17854,경기도 평택시 비전5로 37 3층~6층 (비전동),,2017-03-27,6,0,0,0,6,0,0,0,0,0,0,0,0,127.1147039,37.0016056
